Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780117700,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780117701,25,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780117702,50,,Aggregated,0.000000,0.000000,1800,1800,1900,1900,1900,1900,1900,1900,1900,1900,1900,3,0,1800,1822.5238053128123,1776.1426250217482,1865.9564160043374,211.0
1780117703,75,,Aggregated,0.000000,0.000000,1900,1900,2300,2300,2300,2300,2300,2300,2300,2300,2300,4,0,1800,1938.4211559663527,1776.1426250217482,2286.1132079269737,211.0
1780117704,100,,Aggregated,0.000000,0.000000,1900,1900,2300,2300,2300,2300,2300,2300,2300,2300,2300,4,0,1800,1938.4211559663527,1776.1426250217482,2286.1132079269737,211.0
1780117705,125,,Aggregated,1.000000,0.000000,4300,4400,4600,4900,5000,5000,5000,5000,5000,5000,5000,9,0,4300,3428.509689673471,1776.1426250217482,4970.845750067383,211.0
1780117706,150,,Aggregated,1.000000,0.000000,5000,5500,5600,5600,5700,5700,5700,5700,5700,5700,5700,16,0,4900,4369.315304567863,1776.1426250217482,5699.311750009656,211.0
1780117707,175,,Aggregated,0.800000,0.000000,5300,5500,5700,5700,6700,6700,6700,6700,6700,6700,6700,18,0,5000,4631.117266117751,1776.1426250217482,6726.1250000447035,211.0
1780117708,200,,Aggregated,0.800000,0.000000,5300,5500,5700,5700,6700,6700,6700,6700,6700,6700,6700,18,0,5000,4631.117266117751,1776.1426250217482,6726.1250000447035,211.0
1780117709,225,,Aggregated,0.800000,0.000000,5300,5500,5700,5700,6700,6700,6700,6700,6700,6700,6700,18,0,5000,4631.117266117751,1776.1426250217482,6726.1250000447035,211.0
1780117710,250,,Aggregated,2.250000,0.000000,5300,5600,5700,5700,6700,9400,9400,9400,9400,9400,9400,19,0,5300,4881.997425372614,1776.1426250217482,9397.840291960165,211.0
1780117712,275,,Aggregated,2.250000,0.000000,5300,5600,5700,5700,6700,9400,9400,9400,9400,9400,9400,19,0,5300,4881.997425372614,1776.1426250217482,9397.840291960165,211.0
1780117713,300,,Aggregated,1.800000,0.000000,5500,5700,6700,9300,12000,12000,12000,12000,12000,12000,12000,23,0,5500,5949.720938391376,1776.1426250217482,11630.221624975093,230.7391304347826
