Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780117490,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780117491,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780117492,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780117493,30,,Aggregated,0.000000,0.000000,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2,0,2300,2323.966728989035,2268.47904198803,2379.4544159900397,211.0
1780117494,40,,Aggregated,0.000000,0.000000,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2,0,2300,2323.966728989035,2268.47904198803,2379.4544159900397,211.0
1780117495,50,,Aggregated,0.000000,0.000000,2400,2400,4100,4100,4100,4100,4100,4100,4100,4100,4100,3,0,2400,2900.819333308997,2268.47904198803,4054.524541948922,211.0
1780117496,60,,Aggregated,0.666667,0.000000,5400,5400,5500,5500,5500,5500,5500,5500,5500,5500,5500,7,0,5400,4343.92142242619,2268.47904198803,5481.706833001226,211.0
1780117497,70,,Aggregated,0.600000,0.000000,5400,5500,5500,5500,6800,6900,6900,6900,6900,6900,6900,11,0,5400,4761.039704359559,2268.47904198803,6873.064624960534,252.27272727272728
1780117498,80,,Aggregated,1.166667,0.000000,5400,6100,6100,6100,6900,7100,7100,7100,7100,7100,7100,17,1,5400,4639.243266997201,284.3152080895379,7081.268500071019,831.5882352941177
1780117499,90,,Aggregated,1.166667,0.000000,5400,6100,6100,6100,6900,7100,7100,7100,7100,7100,7100,17,1,5400,4639.243266997201,284.3152080895379,7081.268500071019,831.5882352941177
1780117500,100,,Aggregated,1.166667,0.000000,5400,6100,6100,6100,6900,7100,7100,7100,7100,7100,7100,17,1,5400,4639.243266997201,284.3152080895379,7081.268500071019,831.5882352941177
1780117501,110,,Aggregated,1.166667,0.000000,5400,6100,6100,6100,6900,7100,7100,7100,7100,7100,7100,17,1,5400,4639.243266997201,284.3152080895379,7081.268500071019,831.5882352941177
1780117502,120,,Aggregated,1.700000,0.100000,5500,6100,6800,6900,7800,9400,9400,9400,9400,9400,9400,19,1,5500,5057.874467003307,284.3152080895379,9397.642042022198,790.1578947368421
1780117503,130,,Aggregated,1.700000,0.100000,6900,8200,9400,11000,11000,11000,11000,11000,11000,11000,11000,33,1,6900,6877.025885101774,284.3152080895379,11258.467542007565,856.0
1780117504,140,,Aggregated,1.700000,0.100000,6900,8200,9400,11000,11000,11000,11000,11000,11000,11000,11000,34,1,6800,6706.660071096849,284.3152080895379,11258.467542007565,832.3235294117648
1780117505,150,,Aggregated,3.000000,0.100000,8200,9000,10000,11000,11000,13000,13000,13000,13000,13000,13000,45,1,8200,7443.990592674042,284.3152080895379,12962.138334056363,919.0
1780117506,160,,Aggregated,3.200000,0.100000,8200,9000,10000,11000,11000,13000,13000,13000,13000,13000,13000,47,2,8200,7144.487229688589,256.8901249906048,12962.138334056363,881.531914893617
1780117507,170,,Aggregated,3.200000,0.100000,8200,8900,10000,11000,11000,13000,13000,13000,13000,13000,13000,48,3,7800,7001.41851309066,256.8901249906048,12962.138334056363,863.7083333333334
1780117508,180,,Aggregated,3.300000,0.100000,7800,8900,10000,11000,11000,13000,13000,13000,13000,13000,13000,49,4,7800,6868.137199883065,256.8901249906048,12962.138334056363,846.6122448979592
1780117509,190,,Aggregated,4.100000,0.300000,7800,8900,10000,11000,12000,13000,13000,13000,13000,13000,13000,53,4,7800,6819.362775982744,256.8901249906048,12962.138334056363,1006.7358490566038
1780117510,200,,Aggregated,4.100000,0.300000,7100,8900,10000,11000,12000,13000,13000,13000,13000,13000,13000,56,5,6900,6478.340915965548,256.8901249906048,12962.138334056363,1327.625
1780117511,200,,Aggregated,3.400000,0.300000,8200,10000,11000,12000,13000,14000,14000,14000,14000,14000,14000,76,8,7800,6868.150858565442,256.8901249906048,14430.65195903182,1726.5131578947369
1780117512,200,,Aggregated,3.900000,0.400000,8200,11000,13000,13000,19000,19000,20000,20000,20000,20000,20000,89,9,8200,7987.915034170441,256.8901249906048,19669.20783300884,1499.4719101123596
1780117513,200,,Aggregated,5.100000,0.400000,8900,12000,13000,14000,19000,19000,20000,20000,20000,20000,20000,102,10,8700,8626.38994813988,256.8901249906048,19874.149375013076,1542.362745098039
1780117514,200,,Aggregated,6.400000,0.800000,8200,11000,13000,14000,19000,19000,20000,20000,20000,20000,20000,111,14,8200,8198.390517660693,256.8901249906048,19874.149375013076,1616.3603603603603
1780117515,200,,Aggregated,6.300000,0.800000,8200,11000,13000,14000,19000,20000,20000,20000,21000,21000,21000,119,17,8200,8250.083946095616,233.54591708630323,21061.443415936083,1603.4621848739496
1780117516,200,,Aggregated,7.400000,1.200000,8200,12000,13000,16000,19000,20000,21000,21000,22000,22000,22000,134,24,8200,8216.67310916784,233.54591708630323,21552.134791971184,1516.6940298507463
1780117517,200,,Aggregated,8.000000,1.600000,8700,13000,16000,18000,19000,20000,22000,22000,22000,22000,22000,144,24,8700,8734.918929975214,233.54591708630323,22061.17041700054,1569.3680555555557
1780117518,200,,Aggregated,8.200000,2.000000,8900,13000,17000,18000,20000,20000,22000,22000,23000,23000,23000,162,29,8700,8969.37262062357,233.54591708630323,22945.959458011203,1606.3024691358025
1780117519,200,,Aggregated,9.000000,2.100000,8900,13000,18000,19000,20000,21000,22000,23000,24000,24000,24000,171,31,8900,9095.054506562508,233.54591708630323,23965.43937502429,1656.1520467836258
1780117520,200,,Aggregated,10.600000,2.200000,8900,13000,18000,19000,20000,22000,24000,24000,25000,25000,25000,184,34,8700,9185.799171190845,233.54591708630323,25042.16345900204,1717.5815217391305
