Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780120558,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780120559,25,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780120560,50,,Aggregated,0.000000,0.000000,1500,1500,1600,1600,1900,1900,2000,2000,2000,2000,2000,26,0,1400,1426.1197709218743,803.3114579739049,1962.6642500516027,2584.5
1780120561,75,,Aggregated,0.000000,0.000000,1400,1500,1600,1800,1900,2000,2300,2900,2900,2900,2900,55,0,1400,1388.5857666376978,313.6534160003066,2873.692875029519,2448.7090909090907
1780120562,100,,Aggregated,0.500000,0.000000,1400,1500,1600,1800,1900,1900,2300,2900,2900,2900,2900,62,0,1400,1339.9430765796662,313.6534160003066,2873.692875029519,2210.5806451612902
1780120563,125,,Aggregated,9.000000,0.000000,1500,1900,2100,2300,2900,2900,3000,3000,3000,3000,3000,87,0,1500,1663.6017121725192,313.6534160003066,2971.4984580641612,2571.5402298850577
1780120564,150,,Aggregated,13.750000,0.000000,1600,2000,2300,2600,2900,3000,3200,3300,3500,3500,3500,106,0,1600,1732.2073286236703,230.70204199757427,3514.997292077169,2462.0
1780120565,175,,Aggregated,13.600000,0.000000,1900,2300,2900,2900,3400,3600,3700,3800,4000,4000,4000,130,0,1900,1957.732934320274,230.70204199757427,3986.283416976221,2454.5923076923077
1780120566,200,,Aggregated,15.000000,0.000000,1900,2800,3200,3400,3800,4200,4700,4700,4800,4800,4800,148,0,1900,2182.971710889015,230.70204199757427,4753.090625046752,2259.304054054054
1780120567,225,,Aggregated,15.714286,0.000000,2300,3200,3600,4000,4600,4900,5500,5700,5900,5900,5900,174,0,2300,2530.586926037735,223.4025829238817,5858.38304203935,2654.396551724138
1780120568,250,,Aggregated,16.625000,0.000000,2600,3600,4300,4500,5100,5400,5800,5800,5900,5900,5900,199,0,2600,2791.0238111721605,223.4025829238817,5858.38304203935,2550.879396984925
1780120569,275,,Aggregated,16.555556,0.000000,2900,4000,4500,4700,5400,5700,5900,6000,6400,6400,6400,225,0,2900,3014.158597803261,223.4025829238817,6446.363540948369,2515.9155555555553
1780120570,300,,Aggregated,18.100000,0.000000,3200,4400,4600,5000,5600,5900,6100,6400,6700,6700,6700,245,0,3200,3138.074650023874,223.4025829238817,6665.267667034641,2544.387755102041
1780120571,325,,Aggregated,20.300000,0.000000,3400,4500,5000,5400,5900,6400,6800,7500,7700,7700,7700,264,0,3300,3338.5968090477754,223.4025829238817,7697.286332957447,2653.284090909091
1780120572,350,,Aggregated,22.700000,0.000000,3700,4900,5500,5700,6100,6800,7500,7700,8900,8900,8900,298,0,3700,3640.292929981573,223.4025829238817,8875.97587495111,2720.0536912751677
1780120573,375,,Aggregated,22.200000,0.000000,4200,5400,5700,5900,6800,7600,8500,9100,9800,9800,9800,336,0,4200,3922.064317507431,223.4025829238817,9786.510666948743,2677.7261904761904
1780120574,400,,Aggregated,21.500000,0.000000,4400,5600,5900,6100,7100,7800,8900,9600,11000,11000,11000,359,0,4400,4085.9242303129595,223.4025829238817,10619.517124956474,2715.565459610028
