Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780121477,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780121478,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780121479,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780121480,30,,Aggregated,0.000000,0.000000,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2,0,744.8853750247508,1734.1209999867715,744.8853750247508,2723.356624948792,455.0
1780121481,40,,Aggregated,0.000000,0.000000,2500,2600,3400,3500,3500,3500,3500,3500,3500,3500,3500,34,0,2500,2255.475975531975,296.80499993264675,3528.7925000302494,3235.5882352941176
1780121482,50,,Aggregated,0.000000,0.000000,1500,2500,2600,2600,3500,3500,3500,3500,3500,3500,3500,51,0,1500,1738.0328635392966,263.29345803242177,3528.7925000302494,3430.529411764706
1780121483,60,,Aggregated,5.750000,0.000000,1100,1500,2400,2500,3500,3500,3500,3500,3500,3500,3500,80,0,1100,1364.549913535302,224.27470807451755,3528.7925000302494,3299.55
1780121484,70,,Aggregated,9.400000,0.000000,1000,1200,1500,1600,2600,3500,3500,3500,3500,3500,3500,111,0,1000,1280.6033048053011,224.27470807451755,3528.7925000302494,3907.612612612613
1780121485,80,,Aggregated,12.500000,0.000000,1000,1200,1500,1500,2500,3500,3500,3500,3500,3500,3500,132,0,1000,1246.0126294445768,224.27470807451755,3528.7925000302494,3547.128787878788
1780121486,90,,Aggregated,14.571429,0.000000,1100,1500,1600,2000,2500,3400,3500,3500,3500,3500,3500,162,0,1100,1330.9790650785062,224.27470807451755,3528.7925000302494,3358.925925925926
1780121487,100,,Aggregated,14.750000,0.000000,1200,1600,2000,2100,2500,3000,3500,3500,3500,3500,3500,186,0,1200,1405.2834939599659,224.27470807451755,3528.7925000302494,3401.1344086021504
1780121488,100,,Aggregated,16.444444,0.000000,1300,1800,2200,2400,2600,3000,3500,3500,3500,3500,3500,206,0,1300,1505.993949236954,224.27470807451755,3528.7925000302494,3382.5388349514565
