Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780117279,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780117280,25,,Aggregated,0.000000,0.000000,940,940,950,950,950,950,950,950,950,950,950,3,0,940,922.0241390091056,882.4399170698598,946.8740000156686,185.66666666666666
1780117281,50,,Aggregated,0.000000,0.000000,1100,1400,1400,1400,1500,1500,1900,1900,1900,1900,1900,27,0,1100,1137.4490896058787,241.6900839889422,1906.1376659665257,2057.925925925926
1780117282,75,,Aggregated,0.000000,0.000000,1400,1400,1500,1600,1700,1800,1900,2800,2800,2800,2800,51,0,1400,1281.624071916346,241.6900839889422,2789.0744999749586,2194.078431372549
1780117283,100,,Aggregated,5.000000,0.000000,1400,1500,1700,1700,1900,2800,3500,3500,3500,3500,3500,62,0,1400,1430.5748891427122,237.41158307529986,3533.073208993301,2326.8709677419356
1780117284,125,,Aggregated,10.666667,0.000000,1400,1700,1800,2200,2800,2900,3500,3500,3500,3500,3500,72,0,1400,1599.4049578035224,237.41158307529986,3533.073208993301,2590.3055555555557
1780117285,150,,Aggregated,13.500000,0.000000,1700,2500,2800,2800,3100,3300,3500,3500,3500,3500,3500,97,0,1700,1942.8382886888114,237.41158307529986,3533.073208993301,3348.0721649484535
1780117286,175,,Aggregated,12.600000,0.000000,2300,2800,3100,3200,3500,3700,3900,4000,4000,4000,4000,118,0,2200,2207.0327136434726,237.41158307529986,4038.53791707661,3393.1949152542375
1780117287,200,,Aggregated,14.000000,0.000000,2500,2900,3200,3400,3700,4000,4400,4400,4400,4400,4400,126,0,2400,2327.0820962461007,237.41158307529986,4413.138833013363,3429.285714285714
1780117288,225,,Aggregated,15.428571,0.000000,2600,3200,3500,3600,4400,5200,5700,5700,5800,5800,5800,143,0,2600,2587.818360160483,237.41158307529986,5757.479749969207,3263.888111888112
1780117289,250,,Aggregated,15.250000,0.000000,2900,3600,4000,4500,5500,5700,6100,6300,6600,6600,6600,179,0,2900,2990.136961597694,237.41158307529986,6622.084082919173,3334.513966480447
1780117290,275,,Aggregated,15.111111,0.000000,3300,4300,5000,5300,6000,6200,6500,6900,7700,7700,7700,214,0,3300,3369.319095998724,237.41158307529986,7676.220083027147,3345.004672897196
