Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780131561,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780131562,25,,Aggregated,0.000000,0.000000,940,940,940,940,940,940,940,940,940,940,940,1,0,943.9332919428125,943.9332919428125,943.9332919428125,943.9332919428125,455.0
1780131563,50,,Aggregated,0.000000,0.000000,1700,1700,1700,1700,1700,1800,1800,1800,1800,1800,1800,16,0,1600,1364.4245233081165,790.7603329513222,1765.5325420200825,2273.0
1780131564,75,,Aggregated,0.000000,0.000000,1700,1700,1800,2000,2300,2500,2500,2500,2500,2500,2500,36,0,1700,1564.9676179390453,497.4492499604821,2492.945292033255,3089.1388888888887
1780131565,100,,Aggregated,7.000000,0.000000,1700,1700,1900,2200,2400,2500,3000,3400,3400,3400,3400,54,0,1700,1573.8746303077614,470.04066698718816,3417.512583080679,3271.0
1780131566,100,,Aggregated,11.666667,0.000000,1700,1900,2200,2300,2700,3400,4900,4900,4900,4900,4900,69,0,1700,1762.509881601453,240.92191690579057,4935.086999903433,3801.086956521739
1780131567,100,,Aggregated,11.750000,0.000000,1900,2200,2500,2600,4800,4900,4900,4900,5100,5100,5100,101,0,1900,2119.4474706783576,240.92191690579057,5098.762625013478,3473.70297029703
1780131568,100,,Aggregated,12.800000,0.000000,1900,2200,2600,2900,4200,4900,5100,5100,5100,5100,5100,136,0,1900,2085.2342909929575,240.92191690579057,5098.762625013478,3159.514705882353
1780131569,100,,Aggregated,16.000000,0.000000,2000,2500,3200,3600,4800,4900,5600,5600,5600,5600,5600,174,0,1900,2318.9192039908135,240.92191690579057,5642.943375045434,3279.706896551724
1780131570,100,,Aggregated,19.000000,0.000000,1900,2500,3100,3400,4800,4900,5600,5600,5600,5600,5600,200,0,1900,2304.806679546018,240.92191690579057,5642.943375045434,3087.4
1780131571,100,,Aggregated,20.625000,0.000000,2000,2300,2900,3200,4800,4900,5100,5600,5600,5600,5600,224,0,2000,2265.414977098512,240.92191690579057,5642.943375045434,2959.1875
1780131572,100,,Aggregated,22.111111,0.000000,2100,2300,2800,3100,4600,4900,5100,5600,5600,5600,5600,259,0,2100,2258.2708703229046,240.92191690579057,5642.943375045434,3066.4826254826253
1780131573,100,,Aggregated,22.200000,0.000000,2000,2300,2600,2900,4400,4900,5100,5600,5600,5600,5600,307,0,2000,2203.2516988359107,240.92191690579057,5642.943375045434,3182.9478827361563
